Comment,Like_Count,OpenAI_Response,Comment_Decision,Comment_Decision_Confidence
Scotland had that ball grounded. 100% it was. I am Scottish by birth and completely love how the French play Rugby. But this was certainly a Scotland win. The ref AND. The TMO got this so wrong!,0,Disagree:4,Disagree,4
"It's clearly seen, that is a try...",0,Disagree:4,Disagree,4
It looks like they make us rob the Scots to make sure we close our mouth on the quarter final in the RWC ...,0,Disagree:4,Disagree,4
Ref and TMO common Clowns 🙈🙈🙈🤡🤡🤡,0,Disagree:4,Disagree,4
These type of refs deserve to lose their jobs. Pathetic!,0,Disagree:4,Disagree,4
gg,0,Disagree:3,Disagree,3
LOL Scotland is useless 🤣  KARMA for being one of the three elitist poof nations of the U.K that stifled the rugby game all throughout the 20th century.  That is why the economic power of Germany is non existent in rugby because the British couldn’t even be bothered helping them; getting them into competitiveness level.,0,Disagree:2,Disagree,2
"I love this sport, I love Rugby. Reading comments and still yet no single fellow had written that it wasn't a try, or France deserving this win. <br>  Neither Scot nor French I am and I still have this saddest feeling, when one witnesses an unfair shameful act and can't change anything. It's like I feel somehow guilty and worried, that guys there played their game, fought till the last drop of blood, reaching their goal and scoring an overwhelming winning try  for what? nothing, the TMO was either blind or not cappable of wearing pants. Yea I feel pissed and some sanctions for that ref would do a great job for other teams in future not to get robbed.",0,Disagree:4,Disagree,4
"Robo a mano armada y descarada, cómo siempre Francia robando.",0,Disagree:4,Disagree,4
Everyone saw that was a try,0,Disagree:4,Disagree,4
It touched down,0,Disagree:4,Disagree,4
"As a French who did not digest the theft by the refereeing of the quarter-final against the Boks, winning like this is shameful. Def a try, our team is sick somehow.",0,Disagree:4,Disagree,4
"On Saturday, for the very first time, I experienced something really strange: a questionable or even undeserved victory. Rather bitter-tasting. <br> I don't understand how South Africa, New Zealand or England, who are used to this kind of victory, can settle for so little",0,Disagree:4,Disagree,4
"We need an apology and acknowledgement of error from the ref and tmo. Scotland were robbed by the officiating team, AGAIN.",0,Disagree:4,Disagree,4
As an Antarctican this brings me the chills.,0,Agree:3,Agree,3
I'm kind of new to rugby and even I know Scotland should have gotten the game winning try at the end of the match,0,Disagree:3,Disagree,3
"I’m English and used to poor decisions against us, but that has to be up there with one of the poorest decisions in the history of rugby, especially considering how decisive it was to the match. On a side note, France blew their home World Cup with their best team ever, and it’s clear to see they haven’t recovered from that, they are looking so bad at the moment, but with only flashes of brilliance from time to time.",2,Disagree:4,Disagree,4
"Shameful victory. There was clearly a try. Ugly win. Today Scotland should be still on its way for a grand slam. The international level of refereeing is worrying. We the French fans have suffered quite of a couple of times in the past of poor refereeing... and we would have denounced it if it had been against us. Kudos to the Scots, you can still win the six nations.",1,Disagree:4,Disagree,4
Scotland rob <br>Ref n tmo was shit <br>But congratulation to france for their win,1,Disagree:4,Disagree,4
I’m English and I’ve looked a slow slow mo and the ball is clearly without a doubt on the ground ..,1,Disagree:4,Disagree,4
If the ref was any closer he would have grounded it. Decision made.,0,Disagree:4,Disagree,4
"France should have had a penalty try in the first half for van merve high tackle and then standing up offside and intercepting the pass.<br><br>Scotland lost the game because of a pathetic attempt to defend the blindside of a scrum for the French try.<br><br>Alldrit was holding the for 6 seconds, then hit twice and his leg is f#<a href=""http://www.youtube.com/results?search_query=%23ked"">#ked</a>",0,Disagree:4,Disagree,4
Escocia no pierde por el último try no cobrado. Pierde por patear un penal cuando va ganando por 3. Y no buscar nada más.,0,Disagree:4,Disagree,4
Fckn unbelievable decision,0,Disagree:5,Disagree,5
